Year,Team Number,Rushing Yards,Passing Yards,Time Of Possession,Rushing Yards allowed,Passing Yards Allowed,Penalty Yards,Turnovers,Win
2023,1,130,215,30.5,179,203,36,2,0
2023,2,106,296,36,72,121,31,3,0
2023,3,139,221,35,129,104,88,1,1
2023,4,128,169,29.5,132,185,51,2,1
2023,5,108,188,30,162,262,11,0,0
2023,6,116,113,35,46,174,29,3,0
2023,7,160,174,33,108,107,119,2,1
2023,9,96,246,30,53,219,85,1,1
2023,8,115,82,24,96,293,34,3,0
2023,10,40,340,36,46,205,35,0,1
2023,11,,,,,,,,
2023,12,120,177,28.5,89,341,29,1,1
2023,13,44,310,31,85,148,46,4,0
2023,14,85,148,29,44,310,25,1,1
2023,15,96,293,36,115,82,84,1,1
2023,16,219,53,30,96,246,79,1,0
2023,17,203,179,29.5,215,130,59,1,1
2023,18,85,148,29,44,354,25,1,1
2023,19,162,262,29,108,188,25,1,1
2023,20,46,174,25,162,113,53,1,1
2023,21,83,176,28,84,264,79,1,0
2023,22,89,341,31.5,120,177,83,2,0
2023,23,132,185,31.5,128,169,65,0,0
2023,24,155,89,29.25,80,268,68,0,1
2023,25,84,264,32,83,176,42,1,1
2023,26,80,268,30.75,89,155,46,4,0
2023,27,,,,,,,,
2023,28,108,107,27,160,174,105,1,0
2023,29,87,294,34,46,168,64,2,0
2023,30,46,205,23.5,40,340,33,1,0
2023,31,129,104,24.25,139,221,45,2,1
2023,32,72,121,23.5,106,296,40,0,1
2023,1,142,152,22,93,287,16,3,0
2023,2,96,351,35.5,64,249,55,2,1
2023,3,125,210,30.25,87,202,30,1,0
2023,4,29,359,22,196,278,109,2,0
2023,5,99,243,28.75,159,218,45,3,0
2023,6,178,273,30,29,359,35,0,1
2023,7,93,287,38,142,152,40,1,1
2023,9,57,140,23,170,421,60,4,0
2023,8,,,,,,,,
2023,10,139,169,25.5,234,173,31,3,0
2023,11,159,218,31.25,99,243,35,0,1
2023,12,110,175,27.5,96,183,18,3,0
2023,13,64,249,24.5,96,351,25,0,0
2023,14,193,236,31,89,259,58,0,1
2023,15,67,266,32,70,259,86,0,1
2023,16,,,,,,,,
2023,17,54,195,22,159,295,48,0,0
2023,18,196,278,38,29,359,56,2,1
2023,19,222,302,24,85,183,43,3,1
2023,20,70,259,28,67,266,51,1,0
2023,21,45,111,20.5,136,168,30,3,0
2023,22,136,168,39.5,45,111,86,0,1
2023,23,85,183,36,222,302,43,0,0
2023,24,234,173,34.5,139,169,71,2,1
2023,25,96,183,32.5,110,175,18,1,1
2023,26,159,295,38,54,195,35,1,1
2023,27,87,202,29.75,125,210,30,1,1
2023,28,170,251,37,57,140,45,1,1
2023,29,,,,,,,,
2023,30,,,,,,,,
2023,31,89,259,29,193,236,58,1,0
2023,32,29,359,30,178,273,5,2,0
2023,1,105,257,30.75,124,395,55,0,0
2023,2,127,160,27,105,300,50,3,0
2023,3,131,296,30,93,73,92,1,1
2023,4,104,310,30,142,251,20,0,1
2023,5,83,149,38.5,135,130,80,1,0
2023,6,171,300,33.75,97,214,91,2,0
2023,7,72,139,25.25,173,227,40,1,0
2023,9,124,253,35,53,200,32,0,1
2023,8,93,73,30,131,165,42,3,0
2023,10,97,214,26.25,171,300,39,0,1
2023,11,211,190,38,27,203,70,1,1
2023,12,27,203,22,190,211,31,2,0
2023,13,139,312,32.5,114,111,63,0,1
2023,14,133,196,24.5,164,303,80,1,0
2023,15,204,197,32,108,228,46,2,1
2023,16,155,150,27,76,188,34,1,1
2023,17,164,303,39.75,133,196,85,1,1
2023,18,105,195,33,127,160,25,0,1
2023,19,142,251,30,104,310,98,2,0
2023,20,135,130,21.5,83,149,37,2,1
2023,21,53,200,25,124,253,50,3,0
